iter	$2$	$3$	$4$	$5$	$6$ $7$
1	0.0008443559392715199	0.0006466849769855763	7.190184828204284e-5	2.371049179023819e-6	7.901295443854366e-10	2.0014396150958988e-15
2	0.0007574395868337306	9.461117102980721e-5	1.392941557186364e-5	8.523803964997003e-9	3.33580943155646e-16	6.75247580708928e-17
3	9.379514201430039e-5	4.100129643433651e-5	3.4420419116512397e-7	1.7836391395400432e-12	-Inf	-Inf
4	6.009850585866719e-5	1.9747025941163408e-5	2.8306250769399753e-8	6.377826352185836e-15	-Inf	-Inf
5	4.153908588097929e-5	7.5247002592629964e-6	8.843741048411666e-10	7.055340381686944e-17	-Inf	-Inf
6	3.0523737700574874e-5	6.411043476757803e-7	4.1362768852237757e-11	-Inf	-Inf	-Inf
7	1.9591853488377774e-5	4.518110019336007e-7	9.075825300652595e-13	-Inf	-Inf	-Inf
8	4.926581330813015e-6	2.183631361800176e-7	1.311909691347046e-13	-Inf	-Inf	-Inf
9	9.028128822201405e-6	5.690139443283149e-7	7.279805958084782e-16	-Inf	-Inf	-Inf
10	1.3079247043066056e-6	4.2162584372851103e-8	-Inf	-Inf	-Inf	-Inf
